행정구역,위치명,도로명 주소,지번 주소,위도,경도,데이터기준일자,
서울특별시 마포구,신용보증기금 마포지점 앞,서울특별시 마포구 마포대로 122,서울특별시 마포구 공덕동 254-5,37.5453970345156,126.952564116178,44966.0,
서울특별시 마포구,마포SK허브 빌딩 앞,서울특별시 마포구 마포대로 204,서울특별시 마포구 아현동 737,37.5520005467366,126.95651212572,44966.0,
서울특별시 마포구,트라팰리스빌딩 앞,서울특별시 마포구 마포대로 53,서울특별시 마포구 도화동 559,37.541448169111,126.947232985498,44966.0,
서울특별시 마포구,주식회사 메칸더브이 앞(혜당한방병원 건너),서울특별시 마포구 독막로 31,서울특별시 마포구 합정동 412-28,37.5484275320782,126.916896449905,44966.0,
서울특별시 마포구,신의주 찹쌀순대점 앞,서울특별시 마포구 서강로 18길 2,서울특별시 마포구 노고산동 109-125,37.55371161031,126.935188539995,44966.0,
서울특별시 마포구,아이스페이스 빌딩 앞(하나은행 신촌지점 좌측),서울특별시 마포구 서강로 133,서울특별시 마포구 노고산동 57,37.5551425099159,126.935994407185,44966.0,
서울특별시 마포구,동우빌딩 앞(키움참치 홍대점),서울특별시 마포구 신촌로 12,서울특별시 마포구 동교동 174-11,37.5580859606099,126.927690271228,44966.0,
서울특별시 마포구,홍반장감자탕전문점 앞,서울특별시 마포구 월드컵로 137,서울특별시 마포구 망원동 478-4,37.5603015311203,126.905949506084,44966.0,
서울특별시 마포구,마포롯데캐슬 앞(공덕역 2번출구 방향),서울특별시 마포구 마포대로 109,서울특별시 마포구 공덕동 423-33,37.5442805408047,126.950622015064,44966.0,
서울특별시 마포구,서울가든호텔 앞,서울특별시 마포구 마포대로 58,서울특별시 마포구 도화동 169,37.5407192732743,126.94835215549,44966.0,
서울특별시 마포구,망원역 1번출구 앞,서울특별시 마포구 월드컵로 80,서울특별시 마포구 서교동 441-15,37.5562072970274,126.910445934777,44966.0,
